Ticker,FirstMention,InitialPrice,CurrentPrice,ChangePct
SPXC,2026-04-23 03:12:29,223.96,236.14,5.44
USAR,2026-01-26 23:14:41,26.72,27.98,4.72
XPEV,2026-05-13 07:00:30,16.68,17.46,4.68
META,2025-11-18 00:12:21,596.6921,622.98,4.41
AKTS,2026-03-24 10:09:07,18.63,19.37,3.97
SHMD,2026-04-21 12:43:57,6.19,6.42,3.72
D,2026-02-15 23:48:07,64.3138,66.5,3.4
COPX,2026-01-25 00:16:57,88.08,90.22,2.43
RGTI,2026-01-02 20:46:56,23.6,24.095,2.1
MBLY,2026-05-13 07:00:30,10.53,10.74,1.99
APH,2026-02-07 18:53:42,143.9156,146.77,1.98
CGNX,2026-05-13 07:00:30,63.5546,64.67,1.75
WMB,2026-02-15 23:48:07,71.4461,72.43,1.38
DGXX,2026-05-15 22:49:56,7.54,7.62,1.06
U,2026-02-10 02:24:50,29.06,29.22,0.55
AMSC,2026-04-23 03:12:29,46.15,46.4,0.54
KMI,2026-02-15 23:48:07,31.8357,31.7,-0.43
ZBRA,2026-05-13 07:00:30,246.76,245.48,-0.52
POWI,2026-05-27 10:49:43,86.6854,85.3,-1.6
BSL,2026-05-13 07:00:30,13.1253,12.89,-1.79
QBTS,2026-01-02 20:46:56,28.13,27.55,-2.06
TLN,2026-02-15 23:48:07,388.28,379.59,-2.24
UUUU,2026-03-23 15:37:02,17.79,17.37,-2.36
LYSDY,2026-03-23 15:37:02,13.66,13.33,-2.42
DUK,2026-03-22 11:02:15,126.249,121.82,-3.51
BZAI,2026-04-03 11:21:21,1.87,1.79,-4.28
RR,2026-05-13 07:00:30,2.82,2.695,-4.43
BAM,2026-05-13 07:00:30,47.35,45.25,-4.44
TSLA,2026-01-01 20:50:48,438.07,418.45,-4.48
XLU,2026-02-20 02:48:04,46.0083,43.94,-4.5
SERV,2026-05-13 07:00:30,8.63,8.24,-4.52
YSS,2026-05-01 14:02:46,31.97,30.44,-4.79
AZZ,2026-04-23 03:12:29,146.59,138.48,-5.53
DOW,2026-04-27 01:09:03,37.7165,35.4,-6.14
NEE,2026-02-15 23:48:07,92.0821,85.68,-6.95
NTTYY,2026-04-05 12:56:46,24.7,22.96,-7.04
HSYDF,2026-05-13 07:00:30,47.43,43.992,-7.25
DSCSY,2026-05-10 15:30:58,47.1,43.27,-8.13
PLAB,2026-01-19 02:38:48,34.44,31.52,-8.48
UAMY,2026-01-26 23:14:41,9.5,8.65,-8.95
VST,2026-02-15 23:48:07,173.4434,153.8,-11.33
BEPC,2026-02-15 23:48:07,43.523,38.57,-11.38
CEG,2026-02-15 23:48:07,302.1351,267.24,-11.55
MSFT,2025-11-18 00:12:21,490.6824,428.05,-12.76
KDK,2026-05-13 07:00:30,7.99,6.89,-13.77
SYM,2026-02-16 09:25:02,55.32,47.21,-14.66
PLTR,2026-01-02 20:46:56,167.86,142.2,-15.29
AEIS,2026-04-23 03:12:29,382.3519,320.92,-16.07
AUR,2026-05-13 07:00:30,8.4,6.95,-17.26
AXIA,2026-04-08 22:42:02,12.13,9.98,-17.72
GSM,2026-01-19 02:38:48,5.0397,4.1,-18.65
OPXS,2026-01-19 02:38:48,14.81,11.99,-19.04
MSR,2026-04-05 03:00:02,23.6575,18.74,-20.79
SKY,2026-01-20 16:20:27,94.17,74.58,-20.8
SLNH,2025-11-18 00:12:21,1.94,1.51,-22.16
NRG,2026-02-15 23:48:07,172.9204,133.39,-22.86
CBRS,2026-05-15 07:32:35,279.72,214.94,-23.16
